sp,pop,plant,flower,lll,llw,ull,ulw,ctl,ctw
atro,a,1,1,11.3502,9.7849,10.5943,3.7981,25.5675,5.5743
atro,a,1,2,14.8559,12.5169,16.933,4.454,23.1917,6.5628
atro,a,1,3,10.4516,8.4459,12.1798,2.8003,21.6288,4.7033
atro,a,2,1,12.4661,10.9703,15.4788,4.808,26.6972,7.2993
atro,a,2,2,15.2641,11.4605,15.8403,4.917,27,7.8643
atro,a,2,3,9.3338,9.4403,10.4276,4.3939,22.1534,6.0932
atro,a,3,1,16.3407,12.4865,15.2438,5.316,31.3493,7.1338
atro,a,3,2,12.0202,9.4779,13.042,4.487,28.0879,6.9139
atro,a,3,3,13.5272,11.7919,15.5157,5.2146,32.4193,7.4398
atro,a,3,4,14.2684,11.2383,12.9146,5.7095,29.1599,6.5528
atro,a,3,5,14.854,11.706,13.5341,5.0062,24.829,7.5357
atro,a,3,6,12.5634,10.2622,13.7655,5.0272,26.4296,6.8738
atro,a,3,7,13.6357,11.8402,14.3214,5.4065,30.0169,7.4645
atro,a,3,8,17.8107,12.6474,16.6435,5.2697,27.9896,7.563
atro,a,3,9,14.0156,11.2238,16.2091,2.7578,30.3209,7.6295
atro,a,3,10,14.6812,10.0886,14.8273,4.9807,28.7642,6.6754
atro,a,4,1,14.3304,9.8765,16.346,4.6935,26.5546,7.2108
atro,a,4,2,15.4545,9.5343,16.5947,4.1108,25.3461,6.5127
atro,a,4,3,14.9266,11.4551,16.8444,4.4629,29.7512,6.3754
atro,a,5,1,16.5617,12.0027,16.058,5.3271,25.1916,7.5496
atro,a,5,2,17.8935,13.2424,16.8686,5.6389,27.0759,7.4433
atro,a,5,3,16.5264,12.1732,16.1843,5.9977,25.6279,7.403
atro,a,5,4,11.621,NA,15.5931,5.15,25.0372,5.9085
atro,a,5,5,15.4828,NA,16.2987,5.419,28.7188,6.7855
atro,a,6,1,14.1123,10.3508,13.0525,4.2769,29.9099,6.1747
atro,a,6,2,12.6319,10.283,11.6946,4.9149,30.463,6.4951
atro,a,6,3,12.6824,10.1872,12.1997,4.3545,27.9083,5.1958
atro,a,6,4,12.509,10.2966,12.891,4.3401,28.1007,5.1857
atro,a,7,1,11.5922,8.8046,11.6908,4.8532,16.7944,5.0586
atro,a,7,2,15.5385,12.8792,15.3221,4.1331,25.4427,6.3051
atro,a,7,3,13.963,12.7536,13.9927,2.7043,29.3231,6.7075
atro,a,8,1,15.0214,10.4712,14.4843,4.2553,26.0785,5.9813
atro,a,8,2,14.4102,11.9993,16.697,5.0265,26.7513,5.3227
atro,a,8,3,11.6901,11.5207,14.6068,5.0874,26.1747,5.8502
atro,a,8,4,12.3147,11.5208,16.7257,4.8323,26.3415,5.3056
atro,a,8,5,13.8099,11.3411,16.448,5.0077,27.181,5.8786
atro,a,8,6,14.1524,11.8616,15.388,4.5678,27.5711,5.9088
atro,a,9,1,13.8245,11.1367,12.4989,5.3885,29.942,7.3578
atro,a,9,2,14.402,12.6226,13.3448,5.4301,25.7605,7.4132
atro,a,9,3,13.6573,12.2379,14.2617,5.3641,26.5574,7.8213
atro,a,9,4,14.6692,11.6898,14.3104,5.2516,23.9067,7.5534
atro,a,9,5,11.7465,10.6336,13.5645,4.9684,23.3955,6.9178
atro,a,9,6,13.4147,12.464,14.1039,5.0255,26.8428,7.8552
atro,a,9,7,14.2539,12.6635,14.5249,5.5175,27.3774,8.0223
atro,a,9,8,11.9372,12.2794,14.7649,3.7859,28.9129,6.9133
atro,a,9,9,12.8988,10.3081,13.0569,5.0699,21.0679,6.8381
atro,a,10,1,13.631,10.0805,14.1001,3.748,29.3637,6.6671
atro,a,10,2,15.5124,10.3184,15.5835,3.3183,29.2372,6.758
atro,a,10,3,13.7969,10.8147,15.5084,3.8287,25.62,7.2065
atro,a,10,4,15.3518,10.9888,16.3969,3.7556,27.8214,7.5373
atro,a,10,5,13.8319,10.3497,15.9028,4.3306,27.0593,4.7305
atro,a,10,6,15.4512,10.8148,16.5002,4.9328,28.143,7.7148
atro,a,11,1,12.3028,9.7018,11.2151,4.8967,24.7407,5.1593
atro,a,11,2,13.6324,NA,15.2357,4.7567,32.2107,7.7131
atro,a,11,3,12.0971,11.9985,13.2992,3.9918,31.9753,7.0289
atro,a,11,4,13.1765,11.3238,14.5997,5.1141,28.1446,6.8375
atro,a,12,1,13.2512,14.3926,14.5778,5.1689,34.9287,7.7447
atro,a,12,2,14.0315,13.2272,16.3733,6.1863,25.3718,6.2139
atro,a,13,1,15.3501,12.3366,15.5428,4.7511,29.339,7.2861
atro,a,13,2,14.5306,12.1129,15.1601,4.6103,28.2526,6.9164
atro,a,13,3,14.2982,10.9017,13.6906,4.3245,25.8297,6.0993
atro,a,13,4,14.7174,11.2357,14.919,4.489,23.1793,6.3893
atro,a,13,5,14.7779,12.271,15.8564,4.9856,28.2755,5.2789
atro,a,13,6,15.0886,12.6227,16.7553,4.7696,27.0314,6.4041
atro,a,13,7,16.8365,13.486,16.6425,4.6903,30.7131,6.8843
atro,a,13,8,15.8468,13.3759,16.0558,5.6974,31.2113,7.7757
atro,a,13,9,12.8161,11.1274,15.3928,4.4324,26.5757,5.9417
atro,a,13,10,15.2111,12.3292,15.7162,5.7655,26.9595,6.3534
atro,a,14,1,13.1377,11.3106,15.1302,3.1179,29.276,6.9869
atro,a,14,2,10.5201,NA,9.1857,3.6399,24.2484,6.0389
atro,a,14,3,10.7848,9.2657,11.3713,3.8028,17.336,4.8709
atro,a,15,1,15.0058,13.8039,16.5902,5.7516,26.5331,7.9622
atro,a,15,2,16.4486,14.5417,16.7878,5.31,26.5737,7.3504
atro,a,15,3,10.0716,11.6256,16.0939,5.5076,29.7891,7.8868
atro,a,16,1,13.7891,10.5951,15.6055,5.1343,26.3655,7.0046
atro,a,16,2,10.9154,10.2509,15.319,3.9926,25.8461,6.9688
calo,b,17,1,7.8514,5.6892,5.1323,1.9704,9.3024,2.3612
calo,b,17,2,7.996,6.5174,5.5873,1.7934,7.5685,2.9185
calo,b,17,3,7.5822,6.1832,5.3524,1.9081,7.674,2.8136
calo,b,17,4,7.9555,6.3159,5.4957,1.9449,7.5567,2.886
calo,b,17,5,7.8558,6.1959,5.584,1.8593,7.4216,2.7911
calo,b,17,6,7.112,5.6533,4.9645,1.8982,8.4971,2.8094
calo,b,17,7,8.7481,7.0218,5.3905,2.0183,7.7672,3.0364
calo,b,17,8,8.8284,6.6373,5.5742,2.1817,7.688,3.0864
calo,b,17,9,9.0725,7.113,5.8364,2.2018,7.4185,3.0431
calo,b,17,10,7.8551,6.5659,5.3067,1.7541,7.6103,2.9065
calo,b,18,1,8.2592,6.3867,4.8219,1.8031,7.532,3.0748
calo,b,18,2,7.8215,6.6709,5.1907,2.2155,6.9119,2.8455
